kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
hw6-3.1.sm_61.ptx 93 : 32 160 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 90 : 1 4 0 0 0 1 1 0 0 
hw6-3.1.sm_61.ptx 89 : 1 6 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 88 : 1 29 0 1 1 0 0 0 0 
hw6-3.1.sm_61.ptx 87 : 1 29 0 1 1 0 0 0 0 
hw6-3.1.sm_61.ptx 85 : 32 155 0 0 0 0 0 0 1 
hw6-3.1.sm_61.ptx 84 : 32 192 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 81 : 160 640 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 80 : 160 960 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 79 : 160 960 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 78 : 160 800 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 75 : 31 124 0 5 5 0 0 0 0 
hw6-3.1.sm_61.ptx 74 : 31 124 0 5 5 0 0 0 0 
hw6-3.1.sm_61.ptx 73 : 31 186 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 72 : 31 186 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 71 : 31 744 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 70 : 31 186 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 69 : 31 186 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 68 : 31 899 0 5 5 0 0 0 0 
hw6-3.1.sm_61.ptx 44 : 32 128 0 1 1 0 0 0 0 
hw6-3.1.sm_61.ptx 43 : 32 288 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 42 : 32 192 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 41 : 32 192 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 40 : 32 288 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 39 : 32 192 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 38 : 32 192 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 37 : 32 192 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 36 : 32 4768 0 0 0 8 1 0 0 
hw6-3.1.sm_61.ptx 35 : 32 288 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 30 : 32 96 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 67 : 31 899 0 5 5 0 0 0 0 
hw6-3.1.sm_61.ptx 29 : 32 96 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 66 : 31 279 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 31 : 32 160 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 32 : 32 192 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 33 : 32 192 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 34 : 32 288 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 45 : 32 128 0 1 1 0 0 0 0 
hw6-3.1.sm_61.ptx 46 : 32 160 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 47 : 32 160 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 48 : 32 192 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 49 : 32 192 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 50 : 32 0 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 53 : 160 960 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 54 : 160 645 0 0 0 0 0 0 5 
hw6-3.1.sm_61.ptx 56 : 31 899 0 5 5 0 0 0 0 
hw6-3.1.sm_61.ptx 57 : 31 899 0 5 5 0 0 0 0 
hw6-3.1.sm_61.ptx 58 : 31 186 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 59 : 31 186 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 60 : 31 279 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 61 : 31 186 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 62 : 31 186 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 63 : 31 186 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 64 : 31 279 0 0 0 0 0 0 0 
hw6-3.1.sm_61.ptx 65 : 31 186 0 0 0 0 0 0 0 
